,Device_type,Device_ID,Device_brand,Device_model,Manufacture_Date,Allocation_Date,Assessment_Date,Age(days),device_in_use,water_damage,device_responsive,battery_health,Usage(hrs),Latency(ms)
5709,Smart Phone,65676660,Samsung,Galaxy A6,2019-06-03,2021-04-24,2022-01-17,959,Yes,Yes,Yes,Average,6.97,Average
5710,Feature Phone,50744763,Nokia,5310,2017-06-04,2021-01-03,2022-02-21,1723,Yes,No,Yes,Average,10.45,Average
5711,Feature Phone,63372977,Nokia,125,2018-10-15,2021-04-22,2022-02-04,1208,Yes,Yes,Yes,Good,17.32,Good
5712,Smart Phone,39711496,Oppo,A11k,2016-01-11,2021-03-03,2022-01-11,2192,No,Yes,No,Good,18.26,Good
5713,Feature Phone,89810286,Nokia,8000,2020-04-17,2021-07-26,2022-01-13,636,No,Yes,No,Poor,2.26,Poor
5714,Feature Phone,09815124,Samsung,5310,2015-04-12,2021-01-31,2022-02-20,2506,Yes,Yes,Yes,Poor,1.92,Poor
5715,Smart Phone,15444745,Blackberry,Torch,2015-05-27,2021-02-25,2022-01-17,2427,No,No,No,Poor,3.77,Poor
5716,Smart Phone,30256637,Samsung,Galaxy S9,2017-12-28,2021-01-30,2022-02-16,1511,No,Yes,No,Good,18.52,Good
5717,Smart Phone,65102350,Samsung,Galaxy Note 9,2015-04-25,2021-05-03,2022-01-23,2465,No,No,Yes,Average,10.32,Average
5718,Smart Phone,09483484,OnePlus,OnePlus 8,2017-12-06,2021-06-22,2022-02-12,1529,No,Yes,No,Average,6.35,Average
5719,Laptop,80468189,HP,EliteBook,2014-12-19,2021-07-09,2022-01-17,2586,No,Yes,No,Poor,3.87,Poor
5720,Feature Phone,46409096,Nokia,215,2017-12-19,2021-06-26,2022-01-05,1478,No,Yes,No,Poor,4.5,Poor
5721,Feature Phone,17014687,Nokia,125,2020-01-08,2021-01-05,2022-01-20,743,No,No,No,Poor,1.51,Poor
5722,Laptop,32133738,Lenovo,ThinkPad,2014-11-26,2021-07-04,2022-02-01,2624,No,Yes,No,Average,8.98,Average
5723,Smart Phone,19961538,Oppo,Joy,2018-09-26,2021-07-01,2022-01-29,1221,No,Yes,No,Good,12.38,Good
5724,Laptop,19962290,Apple,ProBook,2017-01-11,2021-01-10,2022-02-15,1861,Yes,Yes,Yes,Average,6.19,Average
5725,Laptop,67066032,HP,Probook,2016-06-19,2021-07-08,2022-01-18,2039,Yes,Yes,Yes,Average,8.79,Average
5726,Smart Phone,24573979,Samsung,Galaxy Note 9,2018-06-18,2021-07-29,2022-01-30,1322,No,Yes,No,Poor,3.58,Poor
5727,Smart Phone,82636364,Apple,Iphone 6,2014-10-12,2021-02-24,2022-01-16,2653,No,Yes,No,Average,7.15,Average
5728,Smart Phone,92282759,Samsung,Galaxy Note 9,2018-01-15,2021-07-18,2022-01-01,1447,Yes,Yes,Yes,Poor,1.85,Poor
5729,Feature Phone,28770893,Samsung,125,2014-03-22,2021-04-15,2022-02-12,2884,No,Yes,No,Poor,3.91,Poor
5730,Feature Phone,11535119,Nokia,5310,2015-01-11,2021-01-27,2022-01-20,2566,No,No,Yes,Average,10.54,Average
5731,Feature Phone,90219856,Nokia,8000,2018-06-05,2021-05-14,2022-02-04,1340,No,No,No,Average,6.69,Average
5732,Smart Phone,35402305,Apple,Iphone 7,2018-03-23,2021-03-08,2022-02-14,1424,No,No,No,Good,12.52,Good
5733,Feature Phone,62597814,Samsung,125,2017-01-17,2021-08-02,2022-01-23,1832,No,Yes,No,Poor,2.4,Poor
5734,Smart Phone,80781196,OnePlus,OnePlus 6,2018-02-19,2021-02-11,2022-01-06,1417,No,No,No,Poor,3.87,Poor
5735,Laptop,72786222,Apple,ProBook,2017-08-09,2021-08-04,2022-01-12,1617,No,Yes,Yes,Poor,3.27,Poor
5736,Feature Phone,49146622,Samsung,8000,2018-03-09,2021-02-06,2022-01-05,1398,No,Yes,Yes,Poor,3.41,Poor
5737,Smart Phone,90032622,OnePlus,OnePlus 6T,2019-05-16,2021-02-19,2022-02-16,1007,No,Yes,No,Average,10.26,Average
5738,Laptop,60695932,Dell,Vostro,2015-09-18,2021-06-24,2022-02-20,2347,Yes,Yes,Yes,Average,6.77,Average
5739,Laptop,38559280,HP,Probook,2015-01-27,2021-05-18,2022-01-05,2535,No,Yes,No,Good,14.2,Good
5740,Feature Phone,02719665,Samsung,225,2019-02-02,2021-02-25,2022-02-08,1102,Yes,Yes,Yes,Poor,3.26,Poor
5741,Feature Phone,96425275,Nokia,8000,2018-04-06,2021-06-17,2022-02-06,1402,No,Yes,No,Good,12.95,Good
5742,Laptop,57879581,HP,EliteBook,2014-05-27,2021-08-01,2022-01-30,2805,Yes,No,Yes,Average,6.6,Average
5743,Smart Phone,09846791,Apple,Iphone 6,2016-07-28,2021-04-02,2022-02-12,2025,No,No,Yes,Poor,4.43,Poor
5744,Laptop,50105595,Apple,ProBook,2019-07-12,2021-01-01,2022-02-14,948,No,No,Yes,Good,19.65,Good
5745,Feature Phone,62593182,Nokia,6300,2020-09-10,2021-03-05,2022-02-20,528,Yes,Yes,Yes,Good,13.29,Good
5746,Feature Phone,23384187,Nokia,125,2020-08-27,2021-06-24,2022-01-03,494,No,Yes,Yes,Good,15.86,Good
5747,Laptop,09414013,Dell,Inspiron,2015-12-01,2021-05-29,2022-01-02,2224,No,Yes,Yes,Average,9.18,Average
5748,Smart Phone,57397658,OnePlus,OnePlus 8,2015-02-19,2021-08-02,2022-01-12,2519,No,No,No,Good,15.59,Good
5749,Feature Phone,56781533,Samsung,125,2020-03-07,2021-01-07,2022-01-02,666,No,Yes,No,Poor,1.98,Poor
5750,Laptop,58332979,Lenovo,Ideapad,2016-12-08,2021-06-26,2022-02-09,1889,No,No,No,Average,8.36,Average
5751,Smart Phone,14916908,Samsung,Galaxy A6,2016-08-30,2021-03-23,2022-01-17,1966,Yes,No,Yes,Good,14.64,Good
5752,Feature Phone,85705883,Nokia,6300,2018-07-06,2021-03-01,2022-02-13,1318,No,Yes,Yes,Good,18.15,Good
5753,Laptop,67574636,HP,Probook,2019-07-24,2021-03-18,2022-02-16,938,Yes,Yes,Yes,Average,9.0,Average
5754,Feature Phone,22013712,Nokia,8000,2015-08-30,2021-06-13,2022-01-23,2338,No,No,No,Good,14.2,Good
5755,Laptop,80974543,Lenovo,ThinkPad,2014-10-05,2021-05-24,2022-02-09,2684,No,Yes,No,Average,7.44,Average
5756,Feature Phone,03394076,Samsung,215,2020-08-31,2021-07-21,2022-02-21,539,No,No,No,Poor,4.82,Poor
5757,Smart Phone,61103122,Samsung,Galaxy Note 9,2020-09-19,2021-02-01,2022-01-26,494,No,Yes,No,Good,15.97,Good
5758,Laptop,99755768,HP,EliteBook,2020-03-09,2021-05-18,2022-01-20,682,Yes,No,Yes,Poor,3.8,Poor
5759,Feature Phone,31769600,Nokia,5310,2018-03-15,2021-04-28,2022-01-25,1412,No,Yes,No,Good,16.14,Good
5760,Laptop,56277678,HP,Pavilion,2017-05-24,2021-05-29,2022-02-01,1714,No,No,No,Poor,2.78,Poor
5761,Feature Phone,33223162,Samsung,5310,2017-12-15,2021-02-22,2022-01-18,1495,No,No,No,Average,10.74,Average
5762,Smart Phone,54992795,Nokia,X10,2019-06-22,2021-01-28,2022-02-12,966,No,Yes,Yes,Good,16.69,Good
5763,Smart Phone,12246236,Oppo,R1,2016-11-04,2021-02-10,2022-01-21,1904,No,Yes,No,Good,12.97,Good
5764,Feature Phone,09075177,Samsung,215,2019-12-25,2021-05-29,2022-02-02,770,No,No,No,Poor,3.69,Poor
5765,Feature Phone,83346606,Samsung,215,2018-05-24,2021-08-04,2022-02-02,1350,No,Yes,Yes,Average,8.53,Average
5766,Smart Phone,94972191,Samsung,Galaxy A8s,2016-03-22,2021-07-12,2022-01-24,2134,No,No,No,Good,12.72,Good
5767,Feature Phone,89595930,Samsung,8000,2017-09-20,2021-02-08,2022-01-05,1568,No,Yes,No,Poor,3.88,Poor
5768,Feature Phone,79227551,Samsung,225,2019-02-15,2021-05-22,2022-02-06,1087,No,No,No,Average,9.57,Average
5769,Laptop,53129598,Dell,Vostro,2015-03-01,2021-05-11,2022-01-10,2507,No,Yes,Yes,Average,9.24,Average
5770,Smart Phone,34422298,Oppo,Neo,2020-08-19,2021-01-08,2022-01-20,519,Yes,No,Yes,Poor,4.84,Poor
5771,Laptop,95080192,HP,EliteBook,2017-08-14,2021-02-07,2022-02-16,1647,Yes,No,Yes,Poor,4.7,Poor
5772,Laptop,47252714,Apple,ProBook,2019-06-15,2021-03-21,2022-02-18,979,Yes,Yes,Yes,Good,12.29,Good
5773,Feature Phone,65188903,Nokia,215,2020-03-15,2021-03-04,2022-01-29,685,No,Yes,No,Good,14.2,Good
5774,Laptop,33123714,Lenovo,ThinkPad,2018-04-26,2021-03-04,2022-01-01,1346,No,Yes,Yes,Average,10.69,Average
5775,Feature Phone,13266677,Nokia,6300,2014-11-29,2021-04-27,2022-01-25,2614,No,No,No,Poor,4.99,Poor
5776,Laptop,30584167,Dell,Vostro,2016-03-12,2021-05-28,2022-01-22,2142,No,No,Yes,Poor,3.6,Poor
5777,Smart Phone,46410863,Nokia,G50,2016-04-28,2021-04-05,2022-01-29,2102,No,Yes,No,Average,10.18,Average
5778,Smart Phone,85400948,Samsung,Galaxy A8s,2016-05-15,2021-05-07,2022-01-05,2061,No,Yes,Yes,Poor,3.63,Poor
5779,Feature Phone,14601118,Nokia,8000,2019-05-21,2021-02-05,2022-02-14,1000,No,Yes,Yes,Good,18.8,Good
5780,Smart Phone,75833909,Oppo,Joy,2014-03-11,2021-01-26,2022-02-07,2890,No,No,No,Poor,4.5,Poor
5781,Laptop,25295511,HP,Probook,2018-04-03,2021-07-05,2022-02-18,1417,No,Yes,No,Average,8.64,Average
5782,Smart Phone,69228292,Oppo,R1,2018-09-07,2021-02-10,2022-02-08,1250,Yes,Yes,Yes,Average,7.62,Average
5783,Feature Phone,27135990,Samsung,225,2016-08-30,2021-06-07,2022-01-21,1970,No,No,Yes,Good,19.72,Good
5784,Feature Phone,85188266,Nokia,215,2016-09-08,2021-03-17,2022-02-06,1977,No,No,No,Poor,3.3,Poor
5785,Feature Phone,40368412,Nokia,225,2015-02-08,2021-03-16,2022-02-12,2561,No,No,Yes,Good,17.64,Good
5786,Feature Phone,12368211,Samsung,6300,2019-09-18,2021-08-06,2022-01-31,866,No,Yes,No,Good,19.16,Good
5787,Laptop,60585998,Lenovo,Ideapad,2014-04-23,2021-07-23,2022-01-20,2829,No,Yes,No,Average,6.2,Average
5788,Smart Phone,67626922,Apple,Iphone 8,2014-03-10,2021-06-14,2022-01-06,2859,No,Yes,No,Average,10.78,Average
5789,Smart Phone,49424652,Samsung,Galaxy S9,2014-11-19,2021-05-23,2022-01-21,2620,Yes,Yes,Yes,Poor,3.85,Poor
5790,Laptop,07876783,Dell,Inspiron,2016-11-24,2021-01-05,2022-02-15,1909,No,No,Yes,Good,19.5,Good
5791,Laptop,46807182,Dell,Inspiron,2016-05-23,2021-04-15,2022-01-26,2074,No,No,Yes,Good,12.51,Good
5792,Feature Phone,19814735,Nokia,225,2018-12-05,2021-02-25,2022-02-14,1167,No,No,No,Good,12.3,Good
5793,Laptop,63031317,Apple,MacBook,2016-04-12,2021-07-11,2022-01-30,2119,Yes,Yes,Yes,Good,16.55,Good
5794,Laptop,55370844,Lenovo,Ideapad,2014-08-05,2021-06-29,2022-01-13,2718,No,No,No,Average,8.23,Average
5795,Smart Phone,18281798,OnePlus,OnePlus 7,2017-11-10,2021-03-11,2022-01-05,1517,No,No,No,Poor,4.64,Poor
5796,Smart Phone,83364945,OnePlus,OnePlus 7T,2014-12-04,2021-07-29,2022-01-29,2613,No,No,Yes,Average,8.3,Average
5797,Feature Phone,86186940,Samsung,8000,2017-11-22,2021-01-03,2022-02-02,1533,Yes,Yes,Yes,Average,10.47,Average
5798,Laptop,95210483,Lenovo,ThinkPad,2019-09-24,2021-05-08,2022-01-29,858,No,Yes,No,Poor,1.8,Poor
5799,Laptop,55561778,HP,EliteBook,2014-05-23,2021-03-08,2022-01-07,2786,No,Yes,Yes,Average,10.98,Average
5800,Feature Phone,13724832,Samsung,5310,2020-12-07,2021-04-05,2022-02-10,430,No,No,No,Average,8.66,Average
5801,Smart Phone,65605646,Blackberry,Q5,2019-02-25,2021-02-10,2022-02-05,1076,No,No,No,Good,13.69,Good
5802,Laptop,05039692,HP,Pavilion,2016-07-13,2021-02-18,2022-01-26,2023,No,Yes,No,Poor,4.26,Poor
5803,Feature Phone,35935032,Nokia,125,2014-08-24,2021-05-15,2022-02-14,2731,No,No,No,Average,6.29,Average
5804,Laptop,81759132,HP,Probook,2020-07-29,2021-01-31,2022-01-03,523,No,No,No,Good,15.41,Good
5805,Feature Phone,03253380,Nokia,8000,2020-01-28,2021-04-26,2022-02-08,742,No,No,No,Good,13.51,Good
5806,Smart Phone,17681797,OnePlus,OnePlus 6,2018-03-28,2021-01-09,2022-02-08,1413,No,Yes,No,Poor,1.86,Poor
5807,Laptop,90113567,HP,Pavilion,2019-04-25,2021-06-20,2022-01-13,994,No,No,Yes,Average,10.49,Average
5808,Smart Phone,33564661,Apple,Iphone 13,2017-01-13,2021-02-18,2022-01-15,1828,No,Yes,No,Poor,4.38,Poor
5809,Feature Phone,19942155,Nokia,8000,2019-10-31,2021-04-09,2022-02-04,827,Yes,Yes,Yes,Average,8.66,Average
5810,Laptop,46355683,Apple,ProBook,2019-05-03,2021-04-18,2022-01-17,990,Yes,Yes,Yes,Poor,2.69,Poor
5811,Smart Phone,87504668,Samsung,Galaxy S9,2015-04-06,2021-01-29,2022-01-16,2477,No,Yes,Yes,Good,16.4,Good
5812,Laptop,81880454,Lenovo,ThinkPad,2014-11-17,2021-08-04,2022-01-06,2607,No,No,No,Good,12.84,Good
5813,Laptop,85269163,Lenovo,Ideapad,2016-03-20,2021-01-03,2022-01-04,2116,Yes,No,Yes,Average,7.89,Average
5814,Laptop,03858516,HP,Probook,2018-12-25,2021-04-01,2022-01-26,1128,No,No,No,Good,19.45,Good
5815,Smart Phone,48564953,Nokia,XR20,2019-01-29,2021-06-13,2022-01-19,1086,No,Yes,Yes,Good,19.69,Good
5816,Feature Phone,49659542,Samsung,125,2014-10-26,2021-01-12,2022-02-20,2674,No,No,No,Poor,3.79,Poor
5817,Feature Phone,56738384,Nokia,225,2020-05-23,2021-04-07,2022-02-11,629,No,No,Yes,Good,17.95,Good
5818,Feature Phone,50560974,Samsung,5310,2018-03-27,2021-05-26,2022-01-23,1398,No,No,No,Good,14.6,Good
5819,Laptop,49399677,Lenovo,Ideapad,2019-04-20,2021-01-27,2022-01-07,993,No,No,Yes,Good,19.19,Good
5820,Feature Phone,61645233,Samsung,125,2016-05-21,2021-02-15,2022-02-05,2086,No,No,No,Average,9.92,Average
5821,Smart Phone,26292076,Nokia,T20,2015-07-09,2021-07-28,2022-02-09,2407,No,Yes,No,Good,19.35,Good
5822,Feature Phone,21031663,Nokia,215,2020-01-08,2021-01-10,2022-02-20,774,No,No,Yes,Average,10.3,Average
5823,Laptop,57176543,HP,Pavilion,2014-12-12,2021-04-06,2022-01-19,2595,No,No,Yes,Poor,3.25,Poor
5824,Feature Phone,64988306,Samsung,8000,2018-06-30,2021-01-01,2022-01-13,1293,No,Yes,Yes,Good,13.7,Good
5825,Laptop,95558431,Apple,MacBook,2014-09-09,2021-07-17,2022-01-22,2692,Yes,Yes,Yes,Good,16.11,Good
5826,Laptop,65628003,Lenovo,ThinkPad,2018-01-15,2021-03-30,2022-02-18,1495,No,Yes,Yes,Average,7.39,Average
5827,Smart Phone,06534967,Oppo,A52,2017-10-17,2021-01-19,2022-01-13,1549,No,Yes,Yes,Poor,3.9,Poor
5828,Feature Phone,30087132,Samsung,6300,2016-01-21,2021-01-15,2022-01-08,2179,Yes,No,Yes,Poor,1.29,Poor
5829,Smart Phone,72717202,Oppo,A11k,2019-12-04,2021-06-16,2022-01-25,783,No,No,No,Good,13.99,Good
5830,Laptop,41643440,Dell,Inspiron,2014-07-26,2021-03-04,2022-01-26,2741,No,No,No,Good,14.71,Good
5831,Laptop,75859503,Apple,MacBook,2019-05-25,2021-01-31,2022-01-02,953,No,No,No,Poor,4.94,Poor
5832,Feature Phone,68411428,Nokia,225,2020-06-26,2021-07-27,2022-02-11,595,Yes,Yes,Yes,Poor,1.69,Poor
5833,Feature Phone,75463038,Nokia,225,2016-10-22,2021-05-29,2022-01-05,1901,No,Yes,Yes,Good,15.13,Good
5834,Laptop,44879518,Dell,Vostro,2018-08-08,2021-03-09,2022-02-21,1293,Yes,Yes,Yes,Average,6.18,Average
5835,Laptop,19230528,Apple,ProBook,2017-09-16,2021-04-10,2022-01-19,1586,No,Yes,Yes,Poor,2.43,Poor
5836,Feature Phone,81152735,Nokia,225,2014-12-13,2021-05-28,2022-01-28,2603,No,No,No,Poor,4.95,Poor
5837,Feature Phone,38456923,Samsung,125,2019-04-05,2021-03-15,2022-01-02,1003,No,Yes,No,Good,16.87,Good
5838,Feature Phone,57975436,Samsung,225,2014-11-01,2021-01-17,2022-02-02,2650,No,No,No,Good,19.8,Good
5839,Laptop,19959801,Apple,MacBook,2020-11-24,2021-02-16,2022-01-30,432,No,No,Yes,Good,19.22,Good
5840,Smart Phone,96117033,OnePlus,OnePlus 7T,2020-06-17,2021-07-12,2022-01-16,578,No,Yes,No,Poor,3.38,Poor
5841,Laptop,12640911,HP,Pavilion,2018-05-08,2021-08-02,2022-01-20,1353,Yes,Yes,Yes,Poor,2.88,Poor
5842,Feature Phone,18359152,Samsung,6300,2016-08-07,2021-07-19,2022-01-18,1990,No,Yes,Yes,Good,17.44,Good
5843,Laptop,19120300,HP,Pavilion,2016-01-29,2021-02-14,2022-01-20,2183,Yes,No,Yes,Poor,2.9,Poor
5844,Smart Phone,63680195,Blackberry,Torch,2018-12-16,2021-05-01,2022-01-18,1129,No,No,No,Poor,1.2,Poor
5845,Smart Phone,97492061,Blackberry,Keyone,2017-07-09,2021-05-14,2022-01-18,1654,No,Yes,No,Poor,4.96,Poor
5846,Smart Phone,22729354,OnePlus,OnePlus nord,2019-06-05,2021-06-07,2022-02-11,982,No,Yes,Yes,Average,7.14,Average
5847,Feature Phone,42671510,Nokia,225,2017-08-03,2021-01-14,2022-01-30,1641,Yes,No,Yes,Average,8.73,Average
5848,Feature Phone,65956779,Nokia,8000,2017-03-12,2021-07-16,2022-01-13,1768,Yes,Yes,Yes,Good,17.43,Good
5849,Feature Phone,55998260,Nokia,6300,2017-05-13,2021-01-10,2022-01-24,1717,Yes,Yes,Yes,Average,6.74,Average
5850,Feature Phone,43130177,Nokia,8000,2019-06-22,2021-06-26,2022-01-10,933,Yes,No,Yes,Average,8.6,Average
5851,Laptop,36322824,HP,Probook,2020-09-02,2021-07-17,2022-01-26,511,No,Yes,No,Average,10.49,Average
5852,Feature Phone,28372981,Nokia,125,2016-01-08,2021-06-01,2022-02-12,2227,No,No,No,Good,18.95,Good
5853,Feature Phone,99382032,Nokia,6300,2016-03-13,2021-06-18,2022-02-09,2159,No,No,No,Good,19.92,Good
5854,Smart Phone,91007353,Oppo,Find 7,2015-08-30,2021-02-01,2022-02-18,2364,No,Yes,No,Good,18.16,Good
5855,Smart Phone,86818735,OnePlus,OnePlus 8,2015-04-20,2021-03-02,2022-02-07,2485,No,No,No,Average,9.68,Average
5856,Laptop,68222130,Apple,MacBook,2019-12-01,2021-05-01,2022-02-16,808,Yes,Yes,Yes,Average,8.6,Average
5857,Smart Phone,99715670,Blackberry,Keyone,2018-05-18,2021-05-11,2022-02-14,1368,No,No,No,Poor,2.86,Poor
5858,Laptop,77495327,Dell,Vostro,2018-08-24,2021-03-13,2022-01-31,1256,No,Yes,No,Average,8.26,Average
5859,Smart Phone,27423899,Blackberry,Leap,2017-07-06,2021-01-19,2022-01-08,1647,No,Yes,No,Poor,4.6,Poor
5860,Laptop,24459228,HP,EliteBook,2016-11-28,2021-03-20,2022-02-14,1904,No,No,No,Poor,1.35,Poor
5861,Laptop,64461793,Apple,MacBook,2017-02-05,2021-06-13,2022-01-19,1809,Yes,Yes,Yes,Good,18.45,Good
5862,Laptop,42930761,Dell,Vostro,2017-02-04,2021-07-24,2022-01-03,1794,No,No,No,Average,7.11,Average
5863,Smart Phone,20600327,Blackberry,Leap,2019-03-02,2021-02-14,2022-01-17,1052,Yes,Yes,Yes,Average,10.85,Average
5864,Laptop,30815094,Dell,Inspiron,2016-04-21,2021-02-21,2022-01-24,2104,No,Yes,No,Good,19.55,Good
5865,Smart Phone,76346491,Oppo,A11k,2014-01-18,2021-02-22,2022-01-12,2916,No,Yes,No,Average,6.34,Average
5866,Feature Phone,15290816,Samsung,6300,2019-01-19,2021-06-26,2022-02-07,1115,No,Yes,Yes,Good,12.51,Good
5867,Laptop,30047624,Lenovo,ThinkPad,2017-07-22,2021-04-18,2022-02-17,1671,No,No,No,Good,14.94,Good
5868,Feature Phone,32804706,Samsung,8000,2017-04-03,2021-03-22,2022-02-02,1766,Yes,No,Yes,Average,9.5,Average
5869,Laptop,29775453,HP,EliteBook,2020-11-20,2021-06-20,2022-02-07,444,No,Yes,Yes,Good,15.26,Good
5870,Feature Phone,01520453,Samsung,8000,2014-03-31,2021-02-27,2022-01-09,2841,No,Yes,No,Average,8.79,Average
5871,Laptop,55988469,Dell,Vostro,2017-11-03,2021-01-17,2022-01-02,1521,No,Yes,Yes,Good,15.11,Good
5872,Laptop,63622034,HP,Probook,2017-05-15,2021-03-26,2022-02-21,1743,No,No,Yes,Good,15.2,Good
5873,Smart Phone,70731743,Samsung,Galaxy S9,2018-09-27,2021-06-05,2022-01-08,1199,No,Yes,No,Poor,1.53,Poor
5874,Smart Phone,01089363,Oppo,A3s,2015-03-22,2021-02-28,2022-02-19,2526,No,No,No,Poor,2.47,Poor
5875,Feature Phone,36559138,Samsung,125,2016-10-23,2021-06-06,2022-02-13,1939,No,No,No,Poor,4.95,Poor
5876,Laptop,80033745,Lenovo,Ideapad,2015-05-21,2021-05-21,2022-02-07,2454,No,No,No,Poor,4.64,Poor
5877,Smart Phone,76385827,Samsung,Galaxy Note 9,2017-04-15,2021-07-17,2022-01-11,1732,No,Yes,No,Good,13.73,Good
5878,Laptop,64491196,HP,Probook,2018-09-17,2021-01-25,2022-01-27,1228,No,Yes,Yes,Good,17.83,Good
5879,Smart Phone,34531761,Blackberry,Torch,2020-01-07,2021-06-12,2022-02-07,762,No,No,No,Average,8.43,Average
5880,Laptop,76569760,Lenovo,ThinkPad,2016-11-08,2021-08-03,2022-01-11,1890,No,No,No,Poor,2.69,Poor
5881,Smart Phone,26105406,Blackberry,Q10,2018-10-15,2021-07-11,2022-01-24,1197,No,No,No,Poor,4.59,Poor
5882,Laptop,99383060,Apple,MacBook,2014-03-20,2021-04-18,2022-01-25,2868,No,Yes,Yes,Average,8.3,Average
5883,Laptop,53201881,Apple,MacBook,2014-10-06,2021-06-30,2022-02-07,2681,Yes,No,Yes,Poor,3.41,Poor
5884,Laptop,91306326,Apple,MacBook,2020-09-08,2021-02-01,2022-02-06,516,No,No,No,Good,16.98,Good
5885,Laptop,67930951,Dell,Inspiron,2017-02-03,2021-06-14,2022-02-02,1825,No,Yes,No,Poor,1.97,Poor
5886,Smart Phone,26624662,Blackberry,Aurora,2014-02-11,2021-02-07,2022-02-19,2930,No,No,No,Poor,2.3,Poor
5887,Feature Phone,74530021,Nokia,6300,2017-06-08,2021-05-18,2022-02-08,1706,No,Yes,No,Average,9.92,Average
5888,Laptop,51659301,Dell,Vostro,2020-05-26,2021-01-04,2022-01-03,587,No,No,Yes,Average,8.82,Average
5889,Feature Phone,60750761,Samsung,125,2019-07-31,2021-02-01,2022-01-13,897,No,Yes,No,Poor,4.17,Poor
5890,Laptop,01257199,HP,Pavilion,2020-10-31,2021-03-12,2022-02-19,476,No,Yes,No,Average,6.2,Average
5891,Laptop,92565357,Dell,Vostro,2014-02-20,2021-04-17,2022-02-06,2908,No,Yes,Yes,Average,6.92,Average
5892,Smart Phone,73735175,Nokia,T20,2016-02-18,2021-01-04,2022-01-21,2164,No,Yes,No,Poor,2.59,Poor
5893,Smart Phone,67264520,OnePlus,OnePlus 6,2017-05-28,2021-02-21,2022-01-12,1690,No,Yes,No,Good,19.63,Good
5894,Feature Phone,00860611,Samsung,215,2015-09-01,2021-06-26,2022-02-02,2346,No,Yes,No,Poor,4.76,Poor
5895,Feature Phone,63692594,Samsung,6300,2020-02-05,2021-02-19,2022-02-20,746,Yes,No,Yes,Average,8.25,Average
5896,Laptop,62456357,HP,Pavilion,2016-01-13,2021-02-28,2022-02-16,2226,No,No,No,Average,9.94,Average
5897,Laptop,11911562,HP,Probook,2015-05-31,2021-04-23,2022-02-19,2456,No,No,No,Poor,4.51,Poor
5898,Feature Phone,21114205,Samsung,215,2014-01-04,2021-06-07,2022-02-09,2958,No,Yes,No,Poor,3.1,Poor
5899,Laptop,53500168,Lenovo,Ideapad,2018-05-14,2021-03-03,2022-02-06,1364,No,Yes,No,Poor,1.83,Poor
5900,Laptop,26188614,Dell,Vostro,2017-09-20,2021-04-17,2022-02-11,1605,No,Yes,No,Poor,1.86,Poor
5901,Laptop,07396953,Lenovo,ThinkPad,2017-09-14,2021-01-10,2022-01-22,1591,Yes,Yes,Yes,Poor,1.2,Poor
5902,Smart Phone,29243396,OnePlus,OnePlus 7,2014-08-18,2021-01-03,2022-02-17,2740,No,No,No,Poor,3.25,Poor
5903,Smart Phone,01598995,Nokia,XR20,2015-04-19,2021-08-05,2022-01-25,2473,No,No,No,Good,16.33,Good
5904,Laptop,74353200,Dell,Vostro,2015-02-25,2021-07-21,2022-01-10,2511,No,No,No,Good,16.24,Good
5905,Laptop,47691919,Dell,Vostro,2019-05-29,2021-07-25,2022-01-30,977,No,Yes,Yes,Poor,3.11,Poor
5906,Laptop,99215972,Lenovo,ThinkPad,2015-04-25,2021-03-17,2022-01-29,2471,No,Yes,No,Good,14.6,Good
5907,Feature Phone,20820565,Samsung,8000,2018-09-17,2021-05-01,2022-02-05,1237,No,Yes,Yes,Good,17.8,Good
5908,Smart Phone,30581678,Apple,Iphone 6S,2015-04-28,2021-01-08,2022-01-17,2456,Yes,Yes,Yes,Average,9.6,Average
5909,Laptop,22321657,Apple,ProBook,2018-06-10,2021-06-07,2022-01-01,1301,No,Yes,No,Average,7.8,Average
5910,Feature Phone,42166740,Nokia,6300,2017-09-16,2021-04-16,2022-02-07,1605,No,No,No,Poor,3.35,Poor
5911,Laptop,40452043,Dell,Vostro,2015-09-11,2021-05-06,2022-01-30,2333,No,No,Yes,Poor,1.2,Poor
5912,Smart Phone,68454197,Blackberry,Leap,2020-03-23,2021-07-27,2022-02-19,698,No,No,Yes,Average,6.31,Average
5913,Feature Phone,35263319,Nokia,6300,2018-07-03,2021-06-22,2022-01-23,1300,Yes,Yes,Yes,Good,19.94,Good
5914,Feature Phone,21733147,Samsung,215,2019-04-10,2021-03-14,2022-02-17,1044,No,Yes,No,Poor,1.92,Poor
5915,Smart Phone,19906904,Blackberry,Q10,2015-01-08,2021-06-22,2022-02-18,2598,No,Yes,No,Average,9.2,Average
5916,Smart Phone,93646543,Blackberry,Curve,2017-12-02,2021-04-19,2022-01-11,1501,No,Yes,No,Good,18.26,Good
5917,Smart Phone,46374370,Apple,Iphone 5S,2015-10-10,2021-07-17,2022-01-30,2304,No,Yes,No,Poor,2.31,Poor
5918,Feature Phone,36412013,Samsung,215,2020-02-23,2021-06-29,2022-01-24,701,No,Yes,Yes,Good,18.78,Good
5919,Laptop,01214390,Lenovo,Ideapad,2014-04-08,2021-04-20,2022-01-23,2847,Yes,Yes,Yes,Average,8.78,Average
