,Device_type,Device_ID,Device_brand,Device_model,Manufacture_Date,Allocation_Date,Assessment_Date,Age,device_in_use,water_damage,device_responsive,battery_health,Usage(hrs),Latency(ms)
5752,Laptop,96744109,Lenovo,Ideapad,2018-11-23,2021-01-27,2022-02-18,1183 days,No,Yes,Yes,Average,6.62,Average
5753,Laptop,13687618,Dell,Inspiron,2020-05-26,2021-05-13,2022-02-18,633 days,No,No,No,Poor,1.2,Poor
5754,Smart Phone,96328132,Samsung,Galaxy J7 duo,2015-05-22,2021-04-08,2022-02-18,2464 days,No,No,No,Average,6.56,Average
5755,Laptop,41185346,HP,Pavilion,2016-06-10,2021-06-17,2022-02-18,2079 days,No,No,No,Poor,2.79,Poor
5756,Laptop,81422630,Lenovo,ThinkPad,2014-12-28,2021-03-13,2022-02-18,2609 days,Yes,No,Yes,Poor,2.14,Poor
5757,Feature Phone,49039504,Nokia,225,2019-08-24,2021-02-08,2022-02-18,909 days,No,No,Yes,Poor,1.46,Poor
5758,Feature Phone,79006927,Nokia,225,2019-09-11,2021-05-13,2022-02-18,891 days,No,Yes,No,Good,11.15,Good
5759,Feature Phone,55887014,Nokia,5310,2020-06-05,2021-07-06,2022-02-18,623 days,No,No,No,Poor,3.29,Poor
5760,Smart Phone,14438417,Oppo,Neo,2015-01-14,2021-02-08,2022-02-18,2592 days,No,No,Yes,Poor,4.83,Poor
5761,Smart Phone,88611990,OnePlus,OnePlus 7,2016-01-10,2021-07-29,2022-02-18,2231 days,No,No,No,Good,12.37,Good
5762,Smart Phone,07426964,OnePlus,OnePlus 7pro,2017-12-20,2021-05-17,2022-02-18,1521 days,No,No,No,Average,7.16,Average
5763,Laptop,28353775,Lenovo,ThinkPad,2020-05-05,2021-04-11,2022-02-18,654 days,No,Yes,No,Good,14.87,Good
5764,Laptop,04042594,HP,Pavilion,2016-10-02,2021-06-26,2022-02-18,1965 days,No,No,No,Average,8.5,Average
5765,Feature Phone,86013598,Samsung,225,2016-12-02,2021-02-17,2022-02-18,1904 days,No,Yes,No,Average,6.52,Average
5766,Laptop,14545108,Dell,Vostro,2017-10-15,2021-05-10,2022-02-18,1587 days,No,No,No,Poor,3.39,Poor
5767,Smart Phone,17983211,Blackberry,Curve,2018-08-02,2021-03-07,2022-02-18,1296 days,No,Yes,Yes,Poor,1.8,Poor
5768,Smart Phone,37016159,Apple,Iphone 11,2014-12-12,2021-05-16,2022-02-18,2625 days,No,No,Yes,Poor,3.59,Poor
5769,Smart Phone,34771631,Apple,Iphone 5S,2014-10-11,2021-05-08,2022-02-18,2687 days,Yes,No,Yes,Average,7.89,Average
5770,Feature Phone,69246500,Nokia,6300,2016-11-24,2021-02-26,2022-02-18,1912 days,No,No,No,Average,8.28,Average
5771,Laptop,12166572,Lenovo,ThinkPad,2019-04-03,2021-03-15,2022-02-18,1052 days,No,Yes,Yes,Good,11.39,Good
5772,Smart Phone,25351385,OnePlus,OnePlus 7pro,2016-05-24,2021-05-28,2022-02-18,2096 days,No,No,Yes,Poor,2.29,Poor
5773,Smart Phone,53076434,Nokia,T20,2016-06-30,2021-05-16,2022-02-18,2059 days,No,No,Yes,Average,9.62,Average
5774,Smart Phone,00090445,Oppo,A11k,2018-05-10,2021-02-10,2022-02-18,1380 days,No,Yes,No,Average,8.83,Average
5775,Laptop,60662903,Lenovo,Ideapad,2019-03-28,2021-05-25,2022-02-18,1058 days,No,Yes,No,Good,11.43,Good
5776,Smart Phone,72858585,OnePlus,OnePlus 8,2020-08-24,2021-07-16,2022-02-18,543 days,No,Yes,No,Good,13.45,Good
5777,Laptop,16265202,Lenovo,Ideapad,2017-05-05,2021-05-23,2022-02-18,1750 days,No,No,No,Good,17.97,Good
5778,Smart Phone,91611789,Blackberry,Curve,2014-04-06,2021-03-08,2022-02-18,2875 days,No,Yes,Yes,Good,14.61,Good
5779,Feature Phone,11082682,Nokia,8000,2014-11-09,2021-04-28,2022-02-18,2658 days,No,No,Yes,Poor,4.58,Poor
5780,Laptop,62467353,Apple,MacBook,2014-09-14,2021-01-26,2022-02-18,2714 days,No,Yes,No,Average,6.72,Average
5781,Smart Phone,02908595,Samsung,Galaxy S9,2019-02-16,2021-04-26,2022-02-18,1098 days,No,No,No,Average,7.34,Average
5782,Smart Phone,22891716,Oppo,A3s,2018-01-01,2021-02-26,2022-02-18,1509 days,No,No,No,Poor,2.69,Poor
5783,Smart Phone,36906550,Samsung,Galaxy A8s,2020-09-11,2021-06-30,2022-02-18,525 days,No,Yes,Yes,Poor,2.77,Poor
5784,Smart Phone,72134030,Samsung,Galaxy J7 duo,2018-12-11,2021-01-31,2022-02-18,1165 days,No,Yes,Yes,Poor,1.27,Poor
5785,Feature Phone,27479674,Samsung,215,2018-02-01,2021-03-28,2022-02-18,1478 days,No,No,Yes,Average,9.19,Average
5786,Laptop,67787104,HP,Pavilion,2018-04-03,2021-03-06,2022-02-18,1417 days,No,No,No,Good,13.5,Good
5787,Feature Phone,94156881,Nokia,8000,2016-05-27,2021-01-12,2022-02-18,2093 days,No,Yes,No,Poor,2.41,Poor
5788,Feature Phone,83352768,Nokia,125,2018-03-10,2021-07-15,2022-02-18,1441 days,No,No,No,Poor,3.69,Poor
5789,Laptop,79992084,HP,Probook,2018-04-03,2021-02-21,2022-02-18,1417 days,No,No,No,Average,8.72,Average
5790,Smart Phone,08780508,Apple,Iphone 11,2015-11-19,2021-06-28,2022-02-18,2283 days,No,Yes,No,Good,13.67,Good
5791,Laptop,95474250,HP,EliteBook,2018-01-01,2021-05-23,2022-02-18,1509 days,No,Yes,Yes,Average,6.58,Average
5792,Smart Phone,44960032,Oppo,N1,2019-08-01,2021-08-09,2022-02-18,932 days,No,No,No,Good,16.6,Good
5793,Laptop,98279685,Lenovo,ThinkPad,2018-08-13,2021-07-05,2022-02-18,1285 days,Yes,No,Yes,Poor,4.64,Poor
5794,Feature Phone,11551546,Samsung,225,2020-02-05,2021-07-22,2022-02-18,744 days,No,Yes,No,Average,7.72,Average
5795,Smart Phone,98923151,Samsung,Galaxy J7 duo,2016-10-28,2021-08-02,2022-02-18,1939 days,No,Yes,Yes,Poor,3.81,Poor
5796,Feature Phone,36938797,Samsung,8000,2016-01-29,2021-02-18,2022-02-18,2212 days,No,No,Yes,Average,8.71,Average
5797,Smart Phone,97679240,OnePlus,OnePlus 6,2019-02-02,2021-06-08,2022-02-18,1112 days,No,No,No,Good,17.95,Good
5798,Feature Phone,43495955,Nokia,5310,2016-04-16,2021-07-10,2022-02-18,2134 days,No,No,No,Average,7.97,Average
5799,Smart Phone,79937900,Nokia,G300,2018-01-14,2021-04-01,2022-02-18,1496 days,No,No,No,Good,19.45,Good
5800,Smart Phone,35148326,Nokia,X100,2015-11-02,2021-03-01,2022-02-18,2300 days,No,Yes,No,Good,16.2,Good
5801,Feature Phone,38267628,Samsung,8000,2017-05-08,2021-08-07,2022-02-18,1747 days,No,No,No,Average,8.93,Average
5802,Laptop,07654077,Dell,Inspiron,2019-08-04,2021-02-19,2022-02-18,929 days,No,Yes,No,Average,8.3,Average
5803,Feature Phone,11937906,Nokia,8000,2019-03-04,2021-01-09,2022-02-18,1082 days,No,No,Yes,Average,9.65,Average
5804,Smart Phone,70240504,Blackberry,Keyone,2016-11-09,2021-03-31,2022-02-18,1927 days,No,Yes,No,Poor,1.1,Poor
5805,Laptop,56842654,Apple,ProBook,2014-03-09,2021-01-29,2022-02-18,2903 days,No,No,No,Average,7.64,Average
5806,Smart Phone,70091236,Nokia,G50,2016-09-17,2021-04-20,2022-02-18,1980 days,Yes,Yes,Yes,Good,15.95,Good
5807,Feature Phone,11080480,Nokia,125,2017-04-21,2021-02-25,2022-02-18,1764 days,Yes,No,Yes,Poor,2.0,Poor
5808,Smart Phone,15176196,Nokia,C20 Plus,2016-10-27,2021-08-04,2022-02-18,1940 days,No,No,No,Poor,2.84,Poor
5809,Laptop,62296885,HP,EliteBook,2016-06-13,2021-07-30,2022-02-18,2076 days,No,Yes,No,Good,18.69,Good
5810,Feature Phone,20699864,Nokia,5310,2018-12-26,2021-03-01,2022-02-18,1150 days,Yes,Yes,Yes,Good,17.0,Good
5811,Laptop,93954525,Dell,Inspiron,2020-03-23,2021-04-27,2022-02-18,697 days,No,No,No,Average,8.12,Average
5812,Feature Phone,80158967,Nokia,6300,2019-11-14,2021-04-09,2022-02-18,827 days,No,No,No,Average,6.51,Average
5813,Feature Phone,64046266,Samsung,125,2015-10-21,2021-05-02,2022-02-18,2312 days,No,Yes,Yes,Poor,2.46,Poor
5814,Feature Phone,08170774,Samsung,8000,2014-12-20,2021-07-24,2022-02-18,2617 days,Yes,No,Yes,Average,6.64,Average
5815,Laptop,94036497,HP,Probook,2018-10-13,2021-07-15,2022-02-18,1224 days,No,No,No,Average,7.47,Average
5816,Laptop,33866925,Dell,Vostro,2017-01-28,2021-02-16,2022-02-18,1847 days,No,No,Yes,Poor,4.0,Poor
5817,Laptop,57394879,Apple,ProBook,2017-01-29,2021-01-15,2022-02-18,1846 days,No,No,No,Poor,4.51,Poor
5818,Smart Phone,18452907,OnePlus,OnePlus 6T,2019-08-02,2021-07-25,2022-02-18,931 days,No,No,No,Average,8.74,Average
5819,Feature Phone,24539135,Nokia,5310,2016-03-01,2021-07-11,2022-02-18,2180 days,No,Yes,No,Average,6.52,Average
5820,Laptop,77133069,Lenovo,ThinkPad,2020-01-14,2021-06-22,2022-02-18,766 days,No,No,No,Poor,1.89,Poor
5821,Smart Phone,13988494,Oppo,A11k,2017-06-23,2021-01-08,2022-02-18,1701 days,No,No,Yes,Average,8.5,Average
5822,Laptop,98030552,Apple,ProBook,2018-07-17,2021-03-19,2022-02-18,1312 days,No,Yes,Yes,Good,19.7,Good
5823,Laptop,13515270,Apple,ProBook,2016-04-27,2021-07-21,2022-02-18,2123 days,No,Yes,No,Poor,1.3,Poor
5824,Laptop,33387383,HP,Probook,2020-11-29,2021-03-05,2022-02-18,446 days,Yes,No,Yes,Good,17.87,Good
5825,Laptop,66583639,Apple,MacBook,2016-01-19,2021-03-04,2022-02-18,2222 days,Yes,Yes,Yes,Average,8.65,Average
5826,Laptop,30657380,HP,Pavilion,2020-12-22,2021-05-18,2022-02-18,423 days,No,Yes,No,Good,14.99,Good
5827,Smart Phone,01195712,Nokia,X10,2018-12-16,2021-04-22,2022-02-18,1160 days,Yes,Yes,Yes,Poor,1.12,Poor
5828,Smart Phone,47899452,Blackberry,Q5,2020-05-13,2021-07-29,2022-02-18,646 days,No,No,No,Good,19.55,Good
5829,Laptop,93759953,HP,Pavilion,2015-08-29,2021-06-13,2022-02-18,2365 days,No,No,Yes,Good,16.64,Good
5830,Laptop,62764315,Lenovo,ThinkPad,2019-01-29,2021-01-16,2022-02-18,1116 days,No,No,No,Average,9.84,Average
5831,Smart Phone,17125543,Blackberry,Leap,2020-01-22,2021-05-26,2022-02-18,758 days,Yes,Yes,Yes,Poor,3.6,Poor
5832,Laptop,43111404,Lenovo,Ideapad,2016-08-11,2021-07-23,2022-02-18,2017 days,No,No,Yes,Average,9.71,Average
5833,Laptop,42603788,Dell,Vostro,2018-04-30,2021-01-31,2022-02-18,1390 days,Yes,Yes,Yes,Poor,4.38,Poor
5834,Feature Phone,18790894,Samsung,8000,2017-01-11,2021-01-10,2022-02-18,1864 days,Yes,Yes,Yes,Average,9.55,Average
5835,Laptop,66006008,Dell,Inspiron,2018-12-18,2021-07-20,2022-02-18,1158 days,No,Yes,No,Good,18.47,Good
5836,Smart Phone,64524306,Samsung,Galaxy A8s,2017-10-13,2021-05-26,2022-02-18,1589 days,Yes,No,Yes,Good,11.68,Good
5837,Feature Phone,05908301,Samsung,5310,2017-10-18,2021-01-03,2022-02-18,1584 days,No,No,Yes,Average,6.63,Average
5838,Laptop,36318308,Dell,Inspiron,2017-08-15,2021-03-21,2022-02-18,1648 days,Yes,Yes,Yes,Poor,4.58,Poor
5839,Smart Phone,94908213,Oppo,R1,2018-04-04,2021-02-03,2022-02-18,1416 days,No,No,Yes,Poor,2.69,Poor
5840,Smart Phone,83092039,OnePlus,OnePlus 6,2020-06-12,2021-04-12,2022-02-18,616 days,No,Yes,No,Average,8.84,Average
5841,Feature Phone,59541813,Samsung,215,2019-10-05,2021-03-26,2022-02-18,867 days,Yes,No,Yes,Average,7.91,Average
5842,Smart Phone,70120738,Oppo,A52,2018-11-27,2021-02-02,2022-02-18,1179 days,Yes,Yes,Yes,Good,17.1,Good
5843,Feature Phone,15170347,Nokia,8000,2015-09-24,2021-03-08,2022-02-18,2339 days,No,No,No,Poor,4.11,Poor
5844,Laptop,81641642,HP,Probook,2019-07-19,2021-06-21,2022-02-18,945 days,No,No,Yes,Good,14.13,Good
5845,Laptop,58113196,Dell,Vostro,2020-09-10,2021-07-13,2022-02-18,526 days,No,No,Yes,Good,17.56,Good
5846,Smart Phone,46058010,Nokia,G300,2016-08-24,2021-03-14,2022-02-18,2004 days,No,No,No,Good,12.81,Good
5847,Smart Phone,41138090,Blackberry,Leap,2014-02-19,2021-06-23,2022-02-18,2921 days,Yes,Yes,Yes,Good,11.8,Good
5848,Feature Phone,96626627,Nokia,6300,2016-04-01,2021-01-16,2022-02-18,2149 days,Yes,No,Yes,Average,9.63,Average
5849,Smart Phone,84003492,Apple,Iphone 7,2020-01-14,2021-03-28,2022-02-18,766 days,No,No,No,Good,18.81,Good
5850,Smart Phone,76340185,Apple,Iphone 13,2017-10-17,2021-06-12,2022-02-18,1585 days,No,No,No,Poor,2.24,Poor
5851,Laptop,24509756,Apple,ProBook,2019-04-06,2021-02-21,2022-02-18,1049 days,No,No,Yes,Poor,3.83,Poor
5852,Laptop,47301009,Apple,MacBook,2019-07-12,2021-04-27,2022-02-18,952 days,No,No,No,Poor,3.21,Poor
5853,Feature Phone,42262824,Samsung,225,2019-03-11,2021-03-28,2022-02-18,1075 days,Yes,Yes,Yes,Average,7.6,Average
5854,Smart Phone,76398759,Oppo,R1,2017-06-01,2021-08-07,2022-02-18,1723 days,Yes,No,Yes,Average,6.32,Average
5855,Feature Phone,56907964,Samsung,5310,2014-02-08,2021-02-21,2022-02-18,2932 days,Yes,No,Yes,Good,11.57,Good
5856,Smart Phone,93766272,Oppo,A11k,2018-05-01,2021-03-09,2022-02-18,1389 days,Yes,Yes,Yes,Poor,2.0,Poor
5857,Laptop,07768897,Dell,Inspiron,2017-02-15,2021-06-25,2022-02-18,1829 days,Yes,Yes,Yes,Average,7.31,Average
5858,Feature Phone,51250942,Samsung,215,2014-07-20,2021-02-26,2022-02-18,2770 days,No,No,No,Average,7.33,Average
5859,Feature Phone,03983379,Nokia,215,2015-02-03,2021-05-31,2022-02-18,2572 days,Yes,No,Yes,Poor,4.51,Poor
5860,Feature Phone,59968474,Nokia,215,2018-09-01,2021-04-03,2022-02-18,1266 days,No,Yes,No,Poor,4.41,Poor
5861,Feature Phone,67231324,Nokia,125,2016-08-19,2021-05-13,2022-02-18,2009 days,Yes,No,Yes,Average,7.52,Average
5862,Smart Phone,86667746,Oppo,R1,2014-08-02,2021-06-08,2022-02-18,2757 days,No,No,No,Good,18.36,Good
5863,Laptop,19718019,Apple,MacBook,2017-07-25,2021-06-10,2022-02-18,1669 days,Yes,No,Yes,Average,9.42,Average
5864,Smart Phone,39385154,Nokia,C20 Plus,2019-09-20,2021-03-14,2022-02-18,882 days,No,No,No,Poor,3.14,Poor
5865,Smart Phone,09200890,Blackberry,Q5,2019-05-26,2021-07-13,2022-02-18,999 days,No,No,No,Poor,3.53,Poor
5866,Smart Phone,12096817,Samsung,Galaxy A6,2017-11-30,2021-06-30,2022-02-18,1541 days,Yes,No,Yes,Poor,2.8,Poor
5867,Laptop,19951850,Apple,ProBook,2019-04-18,2021-06-15,2022-02-18,1037 days,Yes,No,Yes,Good,18.32,Good
5868,Feature Phone,15600356,Samsung,215,2020-02-05,2021-05-21,2022-02-18,744 days,No,Yes,No,Average,8.5,Average
5869,Smart Phone,96458761,Apple,Iphone 8,2018-12-20,2021-01-15,2022-02-18,1156 days,Yes,No,Yes,Poor,2.6,Poor
5870,Smart Phone,36360130,OnePlus,OnePlus 6T,2014-09-29,2021-06-06,2022-02-18,2699 days,Yes,Yes,Yes,Average,8.72,Average
5871,Laptop,90377488,Dell,Vostro,2020-06-03,2021-02-15,2022-02-18,625 days,No,Yes,No,Average,9.79,Average
5872,Smart Phone,80956501,Nokia,X10,2018-09-29,2021-01-25,2022-02-18,1238 days,No,No,No,Good,16.4,Good
5873,Laptop,09459694,Lenovo,Ideapad,2018-09-05,2021-06-02,2022-02-18,1262 days,No,Yes,No,Average,8.78,Average
5874,Laptop,16265097,Dell,Vostro,2019-08-09,2021-06-02,2022-02-18,924 days,No,No,No,Average,8.59,Average
5875,Smart Phone,62335430,Samsung,Galaxy S9,2020-06-19,2021-01-18,2022-02-18,609 days,No,No,Yes,Poor,1.92,Poor
5876,Smart Phone,97374367,OnePlus,OnePlus 6T,2017-08-22,2021-08-08,2022-02-18,1641 days,Yes,Yes,Yes,Poor,2.86,Poor
5877,Smart Phone,85878112,Nokia,X10,2017-06-21,2021-04-08,2022-02-18,1703 days,No,No,Yes,Average,6.35,Average
5878,Feature Phone,69753923,Nokia,6300,2018-11-21,2021-05-07,2022-02-18,1185 days,No,Yes,No,Good,18.4,Good
5879,Feature Phone,03298251,Nokia,5310,2016-03-14,2021-06-09,2022-02-18,2167 days,No,Yes,No,Average,7.42,Average
5880,Smart Phone,98130511,Apple,Iphone 13,2017-08-02,2021-02-27,2022-02-18,1661 days,No,No,No,Good,12.17,Good
5881,Laptop,73258681,Lenovo,Ideapad,2016-10-02,2021-02-17,2022-02-18,1965 days,Yes,Yes,Yes,Poor,1.9,Poor
5882,Laptop,31681278,Apple,ProBook,2017-06-26,2021-03-26,2022-02-18,1698 days,No,Yes,Yes,Good,14.72,Good
5883,Smart Phone,77654946,Nokia,C20 Plus,2018-07-28,2021-08-05,2022-02-18,1301 days,No,Yes,No,Good,16.84,Good
5884,Smart Phone,34666487,Blackberry,Keyone,2018-12-11,2021-06-02,2022-02-18,1165 days,No,No,Yes,Average,6.52,Average
5885,Laptop,22019141,Dell,Vostro,2018-03-02,2021-07-18,2022-02-18,1449 days,No,Yes,Yes,Average,6.82,Average
5886,Feature Phone,56939507,Nokia,5310,2017-05-07,2021-04-05,2022-02-18,1748 days,Yes,No,Yes,Average,8.8,Average
5887,Laptop,07706622,HP,EliteBook,2019-06-24,2021-07-03,2022-02-18,970 days,No,No,No,Poor,3.57,Poor
5888,Feature Phone,33821399,Nokia,125,2015-05-18,2021-05-05,2022-02-18,2468 days,No,Yes,Yes,Average,6.66,Average
5889,Feature Phone,73312758,Samsung,5310,2015-11-13,2021-05-11,2022-02-18,2289 days,Yes,No,Yes,Poor,3.9,Poor
5890,Laptop,88007731,Apple,MacBook,2014-02-10,2021-07-09,2022-02-18,2930 days,No,No,No,Poor,3.2,Poor
5891,Feature Phone,72027509,Samsung,5310,2014-05-28,2021-05-18,2022-02-18,2823 days,No,Yes,No,Poor,2.16,Poor
5892,Smart Phone,03864364,Samsung,Galaxy S9,2018-08-10,2021-03-25,2022-02-18,1288 days,Yes,No,Yes,Poor,3.51,Poor
5893,Smart Phone,08157973,Oppo,A3s,2018-10-22,2021-03-24,2022-02-18,1215 days,No,No,No,Poor,4.72,Poor
5894,Laptop,49046618,Lenovo,Ideapad,2020-09-14,2021-06-28,2022-02-18,522 days,No,Yes,No,Average,6.1,Average
5895,Feature Phone,12516834,Samsung,225,2019-08-08,2021-05-14,2022-02-18,925 days,Yes,No,Yes,Good,17.31,Good
5896,Feature Phone,52062605,Samsung,225,2016-07-14,2021-02-25,2022-02-18,2045 days,No,No,Yes,Good,18.24,Good
5897,Laptop,27182604,Dell,Inspiron,2016-09-19,2021-05-27,2022-02-18,1978 days,Yes,No,Yes,Average,7.1,Average
5898,Smart Phone,92270602,Oppo,Joy,2014-03-17,2021-07-25,2022-02-18,2895 days,No,Yes,Yes,Good,12.11,Good
5899,Smart Phone,95256566,Oppo,A52,2020-12-29,2021-05-11,2022-02-18,416 days,Yes,Yes,Yes,Average,7.84,Average
5900,Smart Phone,87762662,Oppo,A11k,2017-10-08,2021-04-27,2022-02-18,1594 days,Yes,Yes,Yes,Average,7.24,Average
5901,Smart Phone,41349243,Apple,Iphone X,2014-10-29,2021-05-08,2022-02-18,2669 days,No,Yes,No,Average,7.15,Average
5902,Laptop,20575601,Apple,ProBook,2019-07-03,2021-04-16,2022-02-18,961 days,No,Yes,No,Good,12.14,Good
5903,Smart Phone,85953499,Oppo,N1,2020-07-28,2021-01-31,2022-02-18,570 days,Yes,No,Yes,Good,19.52,Good
5904,Laptop,66863236,Dell,Vostro,2017-08-05,2021-04-11,2022-02-18,1658 days,No,Yes,No,Average,6.16,Average
5905,Laptop,58273555,Lenovo,Ideapad,2014-08-17,2021-05-15,2022-02-18,2742 days,No,Yes,No,Average,7.76,Average
5906,Smart Phone,85403703,Nokia,X100,2015-06-11,2021-04-22,2022-02-18,2444 days,No,No,No,Poor,2.92,Poor
5907,Smart Phone,78950870,Apple,Iphone 6S,2014-12-23,2021-05-21,2022-02-18,2614 days,No,No,Yes,Good,17.8,Good
5908,Laptop,39936103,Lenovo,Ideapad,2020-11-09,2021-06-15,2022-02-18,466 days,No,No,No,Poor,2.92,Poor
5909,Smart Phone,76359583,Apple,Iphone 5S,2018-12-26,2021-01-12,2022-02-18,1150 days,No,Yes,No,Poor,2.2,Poor
5910,Laptop,73163251,Dell,Inspiron,2020-02-29,2021-01-10,2022-02-18,720 days,Yes,Yes,Yes,Good,11.24,Good
5911,Smart Phone,30104846,Apple,Iphone 6S,2015-10-19,2021-03-28,2022-02-18,2314 days,No,Yes,Yes,Average,9.45,Average
5912,Feature Phone,77739469,Samsung,6300,2018-03-30,2021-05-17,2022-02-18,1421 days,No,Yes,No,Good,14.22,Good
5913,Laptop,39599186,HP,EliteBook,2014-08-07,2021-03-19,2022-02-18,2752 days,No,No,No,Poor,1.54,Poor
5914,Feature Phone,56359015,Samsung,5310,2020-09-30,2021-07-30,2022-02-18,506 days,No,No,No,Poor,3.49,Poor
5915,Smart Phone,14565007,Blackberry,Keyone,2019-07-31,2021-04-30,2022-02-18,933 days,Yes,Yes,Yes,Poor,3.44,Poor
5916,Laptop,77510587,Dell,Vostro,2015-02-08,2021-05-28,2022-02-18,2567 days,No,Yes,No,Average,6.18,Average
5917,Smart Phone,42904663,Blackberry,Torch,2016-03-21,2021-06-10,2022-02-18,2160 days,Yes,Yes,Yes,Good,11.76,Good
5918,Laptop,04007524,Lenovo,ThinkPad,2018-04-22,2021-01-31,2022-02-18,1398 days,Yes,No,Yes,Good,16.77,Good
5919,Feature Phone,31089890,Nokia,225,2019-03-23,2021-02-01,2022-02-18,1063 days,Yes,Yes,Yes,Good,11.88,Good
5920,Smart Phone,98461165,Oppo,A52,2017-11-13,2021-07-26,2022-02-18,1558 days,Yes,No,Yes,Poor,3.61,Poor
5921,Laptop,48067638,Dell,Vostro,2020-03-01,2021-07-10,2022-02-18,719 days,No,Yes,No,Poor,2.18,Poor
5922,Laptop,19176277,Lenovo,Ideapad,2019-05-22,2021-04-03,2022-02-18,1003 days,Yes,No,Yes,Average,8.66,Average
5923,Laptop,51262587,Dell,Vostro,2016-02-06,2021-03-21,2022-02-18,2204 days,Yes,No,Yes,Average,8.54,Average
5924,Feature Phone,77973122,Samsung,125,2019-09-08,2021-04-13,2022-02-18,894 days,Yes,Yes,Yes,Poor,4.74,Poor
5925,Smart Phone,51360191,Oppo,Neo,2016-09-27,2021-01-21,2022-02-18,1970 days,Yes,No,Yes,Average,7.21,Average
5926,Feature Phone,47098749,Samsung,225,2019-12-30,2021-07-29,2022-02-18,781 days,No,No,No,Good,14.7,Good
5927,Smart Phone,61184275,OnePlus,OnePlus 7pro,2019-09-29,2021-03-01,2022-02-18,873 days,Yes,Yes,Yes,Poor,1.8,Poor
5928,Feature Phone,80055396,Nokia,215,2017-10-01,2021-07-15,2022-02-18,1601 days,No,No,Yes,Average,9.33,Average
5929,Smart Phone,84385710,Nokia,G50,2015-03-28,2021-06-17,2022-02-18,2519 days,No,Yes,No,Poor,4.78,Poor
5930,Feature Phone,76399831,Samsung,5310,2019-08-18,2021-03-22,2022-02-18,915 days,No,No,No,Good,12.3,Good
5931,Smart Phone,92220669,Oppo,Joy,2016-09-07,2021-01-23,2022-02-18,1990 days,No,Yes,No,Poor,3.34,Poor
5932,Smart Phone,99131197,Nokia,G50,2020-10-21,2021-04-16,2022-02-18,485 days,No,No,No,Poor,4.35,Poor
5933,Feature Phone,72824382,Samsung,215,2017-10-28,2021-05-29,2022-02-18,1574 days,No,Yes,No,Poor,3.43,Poor
5934,Feature Phone,23436664,Nokia,125,2016-03-15,2021-01-07,2022-02-18,2166 days,No,No,Yes,Good,15.47,Good
5935,Laptop,80919438,Apple,ProBook,2018-10-29,2021-03-19,2022-02-18,1208 days,Yes,Yes,Yes,Poor,3.76,Poor
5936,Smart Phone,07377846,Blackberry,Passport,2018-12-21,2021-02-10,2022-02-18,1155 days,No,No,Yes,Average,7.13,Average
5937,Smart Phone,98887903,Oppo,A3s,2017-03-15,2021-01-18,2022-02-18,1801 days,No,No,No,Good,13.78,Good
5938,Laptop,28634744,Lenovo,ThinkPad,2019-07-30,2021-07-31,2022-02-18,934 days,No,No,Yes,Poor,1.3,Poor
5939,Feature Phone,00158671,Nokia,225,2019-03-20,2021-02-27,2022-02-18,1066 days,No,Yes,No,Average,9.47,Average
5940,Laptop,19612478,Dell,Vostro,2018-11-07,2021-04-20,2022-02-18,1199 days,No,Yes,Yes,Good,18.84,Good
5941,Smart Phone,47385115,OnePlus,OnePlus 7pro,2018-10-30,2021-07-10,2022-02-18,1207 days,Yes,Yes,Yes,Poor,4.28,Poor
5942,Feature Phone,57841342,Nokia,5310,2014-12-01,2021-07-22,2022-02-18,2636 days,Yes,No,Yes,Average,7.14,Average
5943,Laptop,91552464,Lenovo,ThinkPad,2016-10-20,2021-02-13,2022-02-18,1947 days,No,Yes,No,Average,8.35,Average
5944,Laptop,72139783,Apple,MacBook,2015-12-31,2021-04-29,2022-02-18,2241 days,Yes,Yes,Yes,Average,9.6,Average
5945,Smart Phone,97492122,Blackberry,Curve,2020-08-17,2021-05-31,2022-02-18,550 days,No,No,No,Average,6.84,Average
5946,Smart Phone,51503543,Samsung,Galaxy S9,2020-03-21,2021-04-22,2022-02-18,699 days,No,No,No,Good,15.79,Good
5947,Laptop,53622068,Lenovo,ThinkPad,2015-06-25,2021-04-03,2022-02-18,2430 days,No,Yes,No,Average,9.79,Average
5948,Smart Phone,06084080,Apple,Iphone 5S,2015-05-16,2021-01-08,2022-02-18,2470 days,No,No,Yes,Poor,3.88,Poor
5949,Feature Phone,27855812,Samsung,8000,2014-10-27,2021-03-15,2022-02-18,2671 days,No,Yes,Yes,Average,6.45,Average
5950,Smart Phone,20555849,Nokia,G300,2015-07-28,2021-03-31,2022-02-18,2397 days,Yes,No,Yes,Poor,1.0,Poor
5951,Feature Phone,36520244,Samsung,125,2019-07-27,2021-06-30,2022-02-18,937 days,No,Yes,No,Good,14.53,Good
5952,Smart Phone,90803659,Nokia,G300,2019-09-22,2021-05-09,2022-02-18,880 days,No,Yes,No,Average,9.67,Average
5953,Feature Phone,37681593,Nokia,215,2016-09-10,2021-01-29,2022-02-18,1987 days,No,Yes,Yes,Good,17.87,Good
5954,Laptop,49278415,Apple,MacBook,2016-08-17,2021-01-13,2022-02-18,2011 days,No,Yes,Yes,Good,13.61,Good
5955,Feature Phone,72712054,Nokia,215,2020-06-21,2021-03-16,2022-02-18,607 days,Yes,No,Yes,Poor,2.1,Poor
